name,code
에스아이리소스,065420
에스에프씨,112240
에스코넥,096630
에쎈테크,043340
에이티넘인베스트,021080
에코프로비엠,247540
엑세스바이오,950130
엑시콘,092870
엔터메이트,206400
엔피케이,048830
엘아이에스,138690
엘앤케이바이오,156100
엠게임,058630
엠씨넥스,097520
오공,045060
오픈베이스,049480
옵티시스,109080
와이오엠,066430
와이지-원,019210
원익QnC,074600
원풍물산,008290
웨이브일렉트로,095270
웰크론,065950
위지트,036090
유니온커뮤니티,203450
유니테크노,241690
유신,054930
유안타제5호스팩,336060
유진스팩5호,331380
유진테크,084370
이스트소프트,047560
이엠넷,123570
이엠코리아,095190
이지케어텍,099750
이퓨쳐,134060
인베니아,079950
인텍플러스,064290
정상제이엘에스,040420
제우스,079370
제이엘케이인스펙션,322510
제일제강,023440
제주반도체,080220
젬백스지오,041590
조아제약,034940
주성엔지니어링,036930
지엔씨에너지,119850
지엔코,065060
참좋은여행,094850
캐스텍코리아,071850
케이비제20호스팩,342550
케이엘넷,039420
케이피엠테크,042040
케이피티유,054410
켄코아에어로스페이스,274090
코렌,078650
코센,009730
코스온,069110
코썬바이오,204990
코프라,126600
키네마스터,139670
토탈소프트,045340
톱텍,108230
트루윈,105550
특수건설,026150
티라유텍,322180
티앤알바이오팹,246710
티에스이,131290
파세코,037070
파커스,065690
판타지오,032800
패션플랫폼,225590
팬엔터테인먼트,068050
푸드웰,005670
퓨전,195440
프럼파스트,035200
프로스테믹스,203690
피델릭스,032580
하나금융15호스팩,341160
하이즈항공,221840
한국맥널티,222980
한국전자금융,063570
한국코퍼레이션,050540
한양디지텍,078350
한일진공,123840
한일화학,007770
한컴MDS,086960
한컴위드,054920
한화에이스스팩4호,279410
해마로푸드서비스,220630
화성밸브,039610
화이브라더스코리아,204630
휴맥스,115160
LPK로보틱스,183350
나눔테크,244880
다이오진,271850
시그넷이브이,260870
에듀파트너,208890
에스알바이오텍,270210
에스엘에스바이오,246250
에프앤가이드,064850
엔에스엠,238170
옐로페이,179720
유투바이오,221800
이도바이오,336040
인카금융서비스,211050
전우정밀,120780
지놈앤컴퍼니,314130
진코스텍,250030
큐엠씨,136660
티케이씨,191600
티티씨디펜스,309900
파워풀엑스,266870
BGF리테일,282330
CJ CGV,079160
CJ대한통운,000120
DSR제강,069730
GKL,114090
GS건설,006360
KB금융,105560
SKC,011790
금강공업,014280
금호산업,002990
금호전기,001210
기신정기,092440
기업은행,024110
남선알미늄,008350
남성,004270
대구백화점,006370
대덕전자,008060
대우건설,047040
대원제약,003220
대한방직,001070
대한제당,001790
대현,016090
덕양산업,024900
동방아그로,007590
동부제철,016380
동원금속,018500
두산인프라코어,042670
디씨엠,024090
디티알오토모티브,007340
락앤락,115390
롯데손해보험,000400
롯데칠성음료,005300
만도,204320
미래에셋생명,085620
미원홀딩스,107590
백산,035150
보락,002760
사조대림,003960
사조동아원,008040
삼부토건,001470
삼양홀딩스,000070
삼호,001880
삼화전자공업,011230
서원,021050
세방,004360
세아홀딩스,058650
세원셀론텍,091090
세이브존I&C,067830
신송홀딩스,006880
신일산업,002700
써니전자,004770
아시아나항공,020560
아이마켓코리아,122900
아이에이치큐,003560
에이블씨엔씨,078520
엔씨소프트,036570
영보화학,014440
영진약품,003520
영풍,000670
예스코홀딩스,015360
유성기업,002920
유유제약,000220
유한양행,000100
이마트,139480
이수화학,005950
일성건설,013360
일정실업,008500
일진홀딩스,015860
종근당,185750
종근당홀딩스,001630
진에어,272450
진원생명과학,011000
케이씨텍,281820
코리아써키트,007810
코스모화학,005420
코아스,071950
쿠쿠홀딩스,192400
큐로,015590
태경화학,006890
태영건설,009410
티비에이치글로벌,084870
파미셀,005690
하이트론씨스템즈,019490
하이트진로,000080
한국금융지주,071050
한국전자홀딩스,006200
한국주철관공업,000970
한국테크놀로지그룹,000240
한국토지신탁,034830
한일시멘트,300720
한전KPS,051600
한화시스템,272210
현대에이치씨엔,126560
현대위아,011210
현대중공업지주,267250
현대코퍼레이션홀딩스,227840
화승인더스트리,006060
화천기공,000850
환인제약,016580
효성,004800
효성화학,298000
APS홀딩스,054620
CJ ENM,035760
CMG제약,058820
HRS,036640
KJ프리텍,083470
KMH,122450
MP그룹,065150
NICE평가정보,030190
PN풍년,024940
SCI평가정보,036120
SM Life Design,063440
SNK,950180
감마누,192410
강원,114190
게임빌,063080
광림,014200
국영지앤엠,006050
나노엔텍,039860
나이벡,138610
넥스턴,089140
넵튠,217270
노바렉스,194700
누리텔레콤,040160
뉴로스,126870
뉴지랩,214870
뉴파워프라즈마,144960
대성미생물,036480
대아티아이,045390
대주전자재료,078600
대창솔루션,096350
덕산네오룩스,213420
데브시스터즈,194480
동아엘텍,088130
디알텍,214680
디엠티,134580
딜리,131180
라이브플렉스,050120
럭슬,033600
레몬,294140
레이언스,228850
로고스바이오,238120
로보로보,215100
마크로젠,038290
머큐리,100590
메디앙스,014100
메디포럼제약,047920
메이슨캐피탈,021880
메타바이오메드,059210
멕아이씨에스,058110
모두투어,080160
무림SP,001810
미래에셋대우스팩3호,328380
미래에셋벤처투자,100790
버킷스튜디오,066410
부스타,008470
브이원텍,251630
블러썸엠앤씨,263920
비덴트,121800
비즈니스온,138580
비트컴퓨터,032850
사람인에이치알,143240
삼륭물산,014970
삼양옵틱스,225190
삼영이엔씨,065570
삼일,032280
삼일기업공사,002290
삼지전자,037460
삼진,032750
상신이디피,091580
서린바이오,038070
서호전기,065710
성우하이텍,015750
세경하이테크,148150
세명전기,017510
셀트리온제약,068760
손오공,066910
수성,084180
슈펙스비앤피,058530
슈프리마,236200
신라젠,215600
신영스팩5호,323280
아가방컴퍼니,013990
아모텍,052710
아미코젠,092040
아이에이,038880
아이에이네트웍스,123010
아이오케이,078860
아이티엠반도체,084850
알에프세미,096610
액트로,290740
앱클론,174900
야스,255440
에스디시스템,121890
에스제이그룹,306040
에스티팜,237690
에이치엘비,028300
에이프런티어,036180
에프앤리퍼블릭,064090
에프에스티,036810
엔에이치스팩12호,273060
엔에이치스팩14호,319400
엔지켐생명과학,183490
엔케이맥스,182400
엠벤처투자,019590
연우,115960
영신금속,007530
오르비텍,046120
오션브릿지,241790
와이디온라인,052770
우리손에프앤지,073560
우수AMS,066590
우원개발,046940
원일특강,012620
윈하이텍,192390
유니테스트,086390
유성티엔에스,024800
유안타제6호스팩,340360
유티아이,179900
육일씨엔에쓰,191410
이글루시큐리티,067920
이글벳,044960
이녹스,088390
이랜시스,264850
이매진아시아,036260
이에스브이,223310
이에스에이,052190
이엠텍,091120
이즈미디어,181340
인선이엔티,060150
인포마크,175140
인포바인,115310
잉크테크,049550
정다운,208140
제이스텍,090470
제일바이오,052670
줌인터넷,239340
지니뮤직,043610
지니언스,263860
지란지교시큐리티,208350
지스마트글로벌,114570
지트리비앤티,115450
진매트릭스,109820
컬러레이,900310
케이비제19호스팩,330990
케이씨피드,025880
코너스톤네트웍스,033110
코데즈컴바인,047770
코리아센터,290510
코메론,049430
코미팜,041960
코스나인,082660
코오롱생명과학,102940
코웰패션,033290
코위버,056360
콜마비앤에이치,200130
큐렉소,060280
큐브앤컴퍼니,043090
크로바하이텍,043590
클리오,237880
키움제5호스팩,311270
테고사이언스,191420
테스나,131970
파루,043200
파워로직스,047310
파인디지털,038950
펌텍코리아,251970
포시에스,189690
풍강,093380
풍국주정,023900
피앤이솔루션,131390
피에스텍,002230
하나마이크론,067310
하이록코리아,013030
한국경제TV,039340
한국바이오젠,318000
한국비엔씨,256840
한국아트라스비엑스,023890
한국알콜,017890
한국유니온제약,080720
한국정보통신,025770
한국팩키지,037230
한글과컴퓨터,030520
한솔씨앤피,221610
한일단조,024740
한탑,002680
현진소재,053660
형지I&C,011080
휴네시온,290270
휴맥스홀딩스,028080
흥국에프엔비,189980
KC산업,112190
SGA임베디드,224880
구스앤홈,329050
노드메이슨,317860
노브메타파마,229500
다이노나,086080
대주이엔티,114920
듀켐바이오,176750
래몽래인,200350
로보쓰리,238500
비플라이소프트,148780
썬테크,217320
에이치엔에스하이텍,044990
이노벡스,279060
제놀루션,225220
테크엔,308700
테크트랜스,258050
틸론,217880
플럼라인생명과학,222670
휴럼,284420
휴벡셀,212310
AJ네트웍스,095570
CJ,001040
CJ제일제당,097950
DRB동일,004840
HDC아이콘트롤스,039570
HSD엔진,082740
JB금융지주,175330
KPX케미칼,025000
KTis,058860
LG상사,001120
LG헬로비전,037560
MH에탄올,023150
SBS,034120
SBS미디어홀딩스,101060
SK텔레콤,017670
강원랜드,035250
고려개발,004200
교보증권,030610
국동,005320
국제약품,002720
금양,001570
나노메딕스,074610
남해화학,025860
넥센타이어,002350
녹십자홀딩스,005250
농심홀딩스,072710
다스코,058730
대웅제약,069620
대한유화,006650
더블유게임즈,192080
더존비즈온,012510
덕성,004830
동서,026960
동양생명,082640
동원산업,006040
두산퓨얼셀,336260
디피씨,026890
롯데정밀화학,004000
롯데정보통신,286940
맥쿼리인프라,088980
맵스리얼티1,094800
메타랩스,090370
명문제약,017180
모토닉,009680
미원화학,134380
범양건영,002410
베트남개발1,096300
빙그레,005180
삼성에스디에스,018260
삼성중공업,010140
삼성증권,016360
삼성카드,029780
삼양통상,002170
삼영무역,002810
삼원강재,023000
삼정펄프,009770
샘표식품,248170
서연이화,200880
성보화학,003080
세아제강,306200
센트랄모텍,308170
송원산업,004430
신성이엔지,011930
신세계인터내셔날,031430
신세계푸드,031440
신영증권,001720
신화실업,001770
쌍방울,102280
아세아시멘트,183190
에어부산,298690
엔에이치엔,181710
유니온머티리얼,047400
유니켐,011330
유엔젤,072130
유진증권,001200
유화증권,003460
이스타코,015020
일성신약,003120
제이에스코퍼레이션,194370
조선선재,120030
종근당바이오,063160
진양산업,003780
진양화학,051630
청호컴넷,012600
케이탑리츠,145270
코스모신소재,005070
코오롱플라스틱,138490
키다리스튜디오,020120
태평양물산,007980
테이팩스,055490
텔코웨어,078000
티웨이홀딩스,004870
팜스코,036580
퍼시스,016800
풍산홀딩스,005810
하나니켈1호,099340
하이스틸,071090
한국석유공업,004090
한국수출포장공업,002200
한국자산신탁,123890
한국주강,025890
한국콜마홀딩스,024720
한샘,009240
한솔홀딩스,004150
한신기계공업,011700
한화에어로스페이스,012450
현대리바트,079430
현대자동차,005380
효성 ITX,094280
휴니드테크놀러지스,005870
DB금융스팩7호,322780
IBKS제10호스팩,299170
JTC,950170
KCI,036670
KG ETS,151860
NEW,160550
SGA솔루션즈,184230
SKC코오롱PI,178920
SK바이오랜드,052260
TS인베스트먼트,246690
YBM넷,057030
iMBC,052220
경동제약,011040
교보9호스팩,331520
국일신동,060480
나노신소재,121600
네오오토,212560
넥슨지티,041140
녹원씨엔아이,065560
누리플랜,069140
뉴프라이드,900100
다산네트웍스,039560
다원시스,068240
대원산업,005710
대주산업,003310
대호피앤씨,021040
데일리블록체인,139050
동신건설,025950
동일기연,032960
듀오백,073190
드래곤플라이,030350
디딤,217620
디지털대성,068930
랩지노믹스,084650
레고켐바이오,141080
로보스타,090360
룽투코리아,060240
리드,197210
리드코프,012700
메디포스트,078160
바이오니아,064550
베셀,177350
보라티알,250000
부방,014470
브리지텍,064480
삼본전자,111870
삼천리자전거,024950
삼현철강,017480
상아프론테크,089980
서부T&D,006730
서산,079650
서진오토모티브,122690
성우테크론,045300
세운메디칼,100700
세종텔레콤,036630
소프트캠프,258790
솔본,035610
수산아이앤티,050960
슈피겐코리아,192440
승일,049830
시공테크,020710
시그네틱스,033170
신신제약,002800
신한제5호스팩,323230
신한제6호스팩,333050
실리콘웍스,108320
쎄노텍,222420
쎄미시스코,136510
쎄트렉아이,099320
쎌바이오텍,049960
씨엠에스에듀,225330
씨큐브,101240
아리온,058220
아비코전자,036010
아이스크림에듀,289010
아이엠,101390
아진산업,013310
아프리카TV,067160
액션스퀘어,205500
에스마크,030270
에스앤더블류,103230
에스에프에이,056190
에스엠코어,007820
에스트래픽,234300
에스퓨얼셀,288620
에이디칩스,054630
에이비엘바이오,298380
에이스침대,003800
에이스토리,241840
에이치시티,072990
에이텍티앤,224110
엑셈,205100
엔텔스,069410
엔피디,198080
엘디티,096870
엘비세미콘,061970
엘엠에스,073110
엘컴텍,037950
예스티,122640
오스테오닉,226400
오텍,067170
올릭스,226950
원익머트리얼즈,104830
원익홀딩스,030530
원풍,008370
웹젠,069080
위닉스,044340
위메이드,112040
유비벨록스,089850
유비쿼스,264450
유안타제4호스팩,313750
이건홀딩스,039020
이노와이어리스,073490
이녹스첨단소재,272290
이랜텍,054210
이미지스,115610
이수앱지스,086890
이엑스티,226360
인성정보,033230
인탑스,049070
재영솔루텍,049630
제로투세븐,159580
제이스테판,096690
제이앤티씨,204270
제이엠티,094970
조광ILI,044060
조이맥스,101730
지엘팜텍,204840
지티지웰니스,219750
진바이오텍,086060
진성티이씨,036890
캐리소프트,317530
캠시스,050110
케이비제18호스팩,323940
케이피에프,024880
켐온,217600
코나아이,052400
코다코,046070
코리아에셋투자증권,190650
코미코,183300
코이즈,121850
키이스트,054780
탑엔지니어링,065130
태웅로직스,124560
텔콘RF제약,200230
토비스,051360
티씨케이,064760
파라다이스,034230
파멥신,208340
팍스넷,038160
프로텍,053610
플레이디,237820
피에스케이,319660
픽셀플러스,087600
필옵틱스,161580
하나금융14호스팩,332710
한국제7호스팩,291210
한국캐피탈,023760
한일네트웍스,046110
한일사료,005860
행남사,008800
효성오앤비,097870
휴온스,243070
휴젤,145020
희림,037440
드림티엔터테인먼트,220110
럭스피아,092590
메디쎄이,200580
바이오프로테크,199290
시큐센,232830
씨앤에스링크,245450
앤유엔터테인먼트,266170
엄지하우스,224810
에스앤디,260970
에스엔피제네틱스,086460
에스제이켐,217910
엠에프엠코리아,251960
유엑스엔,337840
이십일스토어,270020
이엔드디,101360
이엠티,232530
태양기계,116100
티에스아이,277880
한중엔시에스,107640
DB하이텍,000990
JW중외제약,001060
JW홀딩스,096760
KPX홀딩스,092230
KR모터스,000040
KSS해운,044450
LF,093050
LG하우시스,108670
LG화학,051910
LIG넥스원,079550
LS,006260
NAVER,035420
NH투자증권,005940
NI스틸,008260
SH에너지화학,002360
SK증권,001510
SK하이닉스,000660
경인양행,012610
경인전자,009140
남영비비안,002070
녹십자,006280
대교,019680
대동전자,008110
대양금속,009190
대창,012800
동국제강,001230
두산솔루스,336370
디아이동일,001530
디아이씨,092200
롯데관광개발,032350
롯데케미칼,011170
롯데하이마트,071840
무학,033920
미래아이앤지,007120
바다로19호,155900
부산주공,005030
비티원,101140
사조씨푸드,014710
삼성물산,028260
삼성전자,005930
삼성제약,001360
삼양식품,003230
삼익THK,004380
삼일제약,000520
삼진제약,005500
삼화왕관,004450
서연,007860
선창산업,002820
성신양회,004980
세기상사,002420
세아특수강,019440
세우글로벌,013000
세원정공,021820
세진중공업,075580
셀트리온,068270
신라교역,004970
신성통상,005390
신세계,004170
신풍제약,019170
쎌마테라퓨틱스,015540
아모레퍼시픽,090430
아세아,002030
아이에스동서,010780
애경산업,018250
에스제이엠,123700
에이리츠,140910
에이엔피,015260
엔케이,085310
엔피씨,004250
엘브이엠씨,900140
영원무역홀딩스,009970
우리들휴브레인,118000
우신시스템,017370
우진,105840
우진플라임,049800
웅진에너지,103130
유니드,014830
유양디앤유,011690
이건산업,008250
이연제약,102460
인스코비,006490
조광페인트,004910
조선내화,000480
지누스,013890
참엔지니어링,009310
케이씨씨,002380
케이씨씨글라스,344820
코리아오토글라스,152330
코오롱글로벌,003070
쿠쿠홈시스,284740
티탑스,030790
페이퍼코리아,001020
포스코,005490
하나니켈2호,099350
하나제약,293480
한국화장품제조,003350
한미글로벌,053690
한솔피엔에스,010420
한양증권,001750
한진중공업,097230
한진중공업홀딩스,003480
한화,000880
한화솔루션,009830
현대에너지솔루션,322000
현대일렉트릭,267260
현대제철,004020
황금에스티,032560
휠라홀딩스,081660
IBKS제7호스팩,276920
MP한강,219550
SDN,099220
SK4호스팩,307070
SKC 솔믹스,057500
SK머티리얼즈,036490
SM C&C,048550
UCI,038340
WI,073570
가비아,079940
강스템바이오텍,217730
경남스틸,039240
교보7호스팩,267320
국순당,043650
글로벌텍스프리,204620
나노,187790
나라엠앤디,051490
남화산업,111710
네오위즈홀딩스,042420
네이블커뮤니케이션즈,153460
넥스트BT,065170
녹십자랩셀,144510
대신밸런스제7호스팩,332290
대양전기공업,108380
대원,007680
대한뉴팜,054670
덕산테코피아,317330
덕산하이메탈,077360
덕신하우징,090410
동국제약,086450
동방선기,099410
동진쎄미켐,005290
두올산업,078590
디바이스이엔지,187870
디알젬,263690
디에스티,033430
라이브파이낸셜,036170
라이온켐텍,171120
러셀,217500
레드로버,060300
레이크머티리얼즈,281740
로지시스,067730
린드먼아시아,277070
링네트,042500
마이크로컨텍솔,098120
맥스로텍,141070
메가스터디교육,215200
미스터블루,207760
민앤지,214180
바른전자,064520
바이온,032980
배럴,267790
블루콤,033560
비디아이,148140
빛샘전자,072950
삼원테크,073640
상보,027580
새로닉스,042600
서연탑메탈,019770
서울바이오시스,092190
서울반도체,046890
서원인텍,093920
선데이토즈,123420
성호전자,043260
스킨앤스킨,159910
스타플렉스,115570
스튜디오드래곤,253450
시노펙스,025320
신스타임즈,056000
신원종합개발,017000
신흥에스이씨,243840
씨앤지하이테크,264660
씨젠,096530
아세아텍,050860
아스타,246720
아스트,067390
아이앤씨,052860
아이엘사이언스,307180
아이엠텍,226350
아이즈비전,031310
아이큐어,175250
아이크래프트,052460
액트,131400
에스모 머티리얼즈,087730
에스앤씨엔진그룹,900080
에스제이케이,080440
에스텍파마,041910
에이비프로바이오,195990
에이스테크,088800
에이씨티,138360
에이치엔티,176440
에이치엘사이언스,239610
에이테크솔루션,071670
에이티세미콘,089530
에이프로젠 H&G,109960
에코플라스틱,038110
에프알텍,073540
엑사이엔씨,054940
엔에스,217820
엘오티베큠,083310
연이정보통신,090740
예스24,053280
오가닉티코스메틱,900300
옵트론텍,082210
옵티팜,153710
와이솔,122990
우노앤컴퍼니,114630
우리산업홀딩스,072470
우림기계,101170
우양,103840
원익,032940
웰크론한텍,076080
유니크,011320
유니트론텍,142210
유에스티,263770
이노인스트루먼트,215790
이루온,065440
이엘케이,094190
이엘피,063760
이트론,096040
인터플렉스,051370
일야,058450
잉글우드랩,950140
자이글,234920
전파기지국,065530
제너셈,217190
제넨바이오,072520
제노레이,122310
제룡전기,033100
제이씨현시스템,033320
제이티,089790
젬백스,082270
체리부로,066360
초록뱀,047820
칩스앤미디어,094360
컴퍼니케이,307930
케이씨에스,115500
케이씨티,089150
케이아이엔엑스,093320
케이엔더블유,105330
케이피에스,256940
코드네이처,078940
코맥스,036690
코스맥스엔비티,222040
코스메카코리아,241710
코엔텍,029960
코텍,052330
큐브엔터,182360
큐캐피탈,016600
크리스탈신소재,900250
타이거일렉,219130
티로보틱스,117730
파마리서치프로덕트,214450
파인텍,131760
펩트론,087010
포스링크,056730
퓨쳐켐,220100
피씨디렉트,051380
피앤텔,054340
피에스케이홀딩스,031980
한국컴퓨터,054040
헝셩그룹,900270
현대바이오,048410
바이오코아,216400
빅텐츠,210120
씨알푸드,236030
씨이랩,189330
아퓨어스,149300
에브리봇,270660
엘에이티,311060
위월드,140660
유비온,084440
지오씨,135160
파인이엠텍,278990
피노텍,150440
CJ씨푸드,011150
DB금융투자,016610
DGB금융지주,139130
E1,017940
HDC현대EP,089470
KC코트렐,119650
KEC,092220
KISCO홀딩스,001940
LG,003550
LG디스플레이,034220
LS전선아시아,229640
NH프라임리츠,338100
NICE,034310
S&T중공업,003570
S&T홀딩스,036530
S-Oil,010950
계룡건설산업,013580
고려제강,002240
노루페인트,090350
대상,001680
대성홀딩스,016710
대우조선해양,042660
대웅,003090
대한제강,084010
덴티움,145720
동원F&B,049770
동일고무벨트,163560
두산밥캣,241560
두산중공업,034020
드림텍,192650
롯데제과,280360
만호제강,001080
모나미,005360
문배철강,008420
미창석유공업,003650
백광산업,001340
벽산,007210
부광약품,003000
부산도시가스,015350
비상교육,100220
사조산업,007160
삼성공조,006660
삼성생명,032830
삼성전기,009150
삼양패키징,272550
삼화전기,009470
새론오토모티브,075180
샘표,007540
서흥,008490
수산중공업,017550
신세계I&C,035510
신세계건설,034300
신영와코루,005800
신원,009270
아주캐피탈,033660
에쓰씨엔지니어링,023960
에이프로젠 KIC,007460
오리온,271560
우리금융지주,316140
우성사료,006980
웰바이오텍,010600
유나이티드,033270
유니온,000910
유안타증권,003470
이리츠코크렙,088260
이월드,084680
인천도시가스,034590
일동홀딩스,000230
일진머티리얼즈,020150
일진전기,103590
제이준코스메틱,025620
조광피혁,004700
조일알미늄,018470
지엠비코리아,013870
진흥기업,002780
카카오,035720
케이씨티시,009070
케이티,030200
코리안리,003690
코스맥스비티아이,044820
코오롱머티리얼,144620
크라운제과,264900
크라운해태홀딩스,005740
태림포장,011280
태원물산,001420
티에이치엔,019180
팬오션,028670
평화산업,090080
폴루스바이오팜,007630
하나투어,039130
한국타이어앤테크놀로지,161390
한국프랜지공업,010100
한독,002390
한세엠케이,069640
한솔제지,213500
한솔케미칼,014680
한솔테크닉스,004710
한온시스템,018880
한전산업,130660
한진,002320
해성디에스,195870
현대상선,011200
현대종합상사,011760
현대해상,001450
혜인,003010
화성산업,002460
화승엔터프라이즈,241590
휴비스,079980
CNH,023460
IBKS제11호스팩,335890
ITX엠투엠,099520
KBI메탈,024840
KH바텍,060720
KMH하이텍,052900
KTH,036030
KT서브마린,060370
SBS콘텐츠허브,046140
SG&G,040610
SGA,049470
TPC,048770
W홀딩컴퍼니,052300
가온미디어,078890
고영,098460
골든센츄리,900280
광진윈텍,090150
구영테크,053270
국보디자인,066620
나이스정보통신,036800
네오위즈,095660
네오크레마,311390
넷게임즈,225570
노랑풍선,104620
노바텍,285490
뉴보텍,060260
다날,064260
다우데이타,032190
대명코퍼레이션,007720
대원미디어,048910
대한과학,131220
대화제약,067080
동아화성,041930
디앤씨미디어,263720
디티앤씨,187220
라닉스,317120
라온피플,300120
라파스,214260
로스웰,900260
마니커에프앤지,195500
마이크로프랜드,147760
메가엠디,133750
메드팩토,235980
메카로,241770
모베이스,101330
모아텍,033200
미래에셋대우스팩4호,333430
미코,059090
바이오스마트,038460
바텍,043150
보광산업,225530
본느,226340
브릿지바이오,288330
비엠티,086670
비츠로셀,082920
비츠로시스,054220
삼기오토모티브,122350
삼영엠텍,054540
삼천당제약,000250
서울옥션,063170
서한,011370
성도이엔지,037350
성우전자,081580
세원물산,024830
셀바스AI,108860
스맥,099440
스카이문스테크놀로지,033790
시너지이노베이션,048870
시큐브,131090
신성델타테크,065350
신화인터텍,056700
심텍홀딩스,036710
씨엔플러스,115530
씨유메디칼,115480
아이센스,099190
아이진,185490
아이컴포넌트,059100
아즈텍WB,032080
안랩,053800
안트로젠,065660
애니플러스,310200
앤디포스,238090
어보브반도체,102120
에버다임,041440
에스넷,038680
에스디생명공학,217480
에스앤에스텍,101490
에스에이엠티,031330
에스엔텍비엠,160600
에스와이,109610
에스티큐브,052020
에스피지,058610
에이피티씨,089970
에코마케팅,230360
에코바이오,038870
에코캡,128540
엔바이오니아,317870
엔브이에이치코리아,067570
엔에스엔,031860
엔에이치스팩13호,310840
엔에이치스팩15,339950
엠에스오토텍,123040
엠케이전자,033160
오스템임플란트,048260
오이솔루션,138080
올리패스,244460
와이엠씨,155650
와이엠티,251370
와이제이엠게임즈,193250
우리조명,037400
원익IPS,240810
위세아이텍,065370
유니슨,018000
유아이디,069330
유아이엘,049520
유테크,178780
이상네트웍스,080010
이테크건설,016250
이화공영,001840
인텔리안테크,189300
인포뱅크,039290
인피니트헬스케어,071200
일신바이오,068330
장원테크,174880
제낙스,065620
제이씨케미칼,137950
제이웨이,058420
좋은사람들,033340
중앙백신,072020
지어소프트,051160
지엔원에너지,270520
청보산업,013720
카스,016920
케이비17호스팩,317030
케이사인,192250
케이에스피,073010
코디,080530
큐리언트,115180
크린앤사이언스,045520
태웅,044490
테라셈,182690
토박스코리아,215480
티비씨,033830
티엘아이,062860
팅크웨어,084730
파라텍,033540
팜스토리,027710
푸드나무,290720
푸른저축은행,007330
프리엠스,053160
플랜티넷,075130
플레이위드,023770
피엔티,137400
피제이메탈,128660
하나머티리얼즈,166090
하이셈,200470
한국선재,025550
한국전자인증,041460
한국정보공학,039740
한국큐빅,021650
한국테크놀로지,053590
한독크린텍,256150
한양이엔지,045100
한프,066110
한화플러스제1호스팩,340440
해성옵틱스,076610
현대사료,016790
현우산업,092300
